punk_id,unit_in_eth,unit_in_usd,block_time,tx_hash,seller,buyer
0.0,0.98,335.6598,2017/06/23 22:56:29,24893e1197d9da51601987636e2c2bea6d7e56391eb410b44ff5aa8ea80fc068,c352b534e8b987e036a93539fd6897f53488e56a,00d7c902fbbcd3c9db2da80a439c94486c50eb81
0.0,25.0,2919.25,2018/11/30 07:32:35,5687d030ddf9059d8098f6095e679085dd153ceb6d5b2f45ac36c16876de94e5,f5099e196469257c0d457e896a648d5f616af034,e08c32737c021c7d05d116b00a68a02f2d144ac0
1.0,0.42,106.3188,2017/06/26 21:23:26,f0f63e81ea1858388eb274a2ba516c3cc796d61a85194bccb1911ff00be98084,c352b534e8b987e036a93539fd6897f53488e56a,a0a59ca1ee70155da46bb8913d6d87c28dd4a7a3
1.0,60.0,36171.0,2020/11/30 18:44:26,f4af5563f3c4c3b26dee3ab027902f113bee5985b28d9ede5b81ab42b46abb30,ee3766e4f996dc0e0f8c929954eaafef3441de87,cf6165e56c3383978f6eaaf58b314af41569c0f0
14.0,0.9,189.702,2017/07/13 22:47:52,6e001e813ba401893c74c7fb291f8f61bf6ad24d416057736b7c4367f6b6373e,c352b534e8b987e036a93539fd6897f53488e56a,d8e80673419acfbf15bf8eb0239cda90f232051f
14.0,2.5,235.5,2018/12/07 19:47:12,9d9c29a495c916517d01a61783016282296f6659d1f9a05038e64c1cc233eb4b,582fa78399f03501802beff5b2ea2d0612c9a9e5,7c00c9f0e7aed440c0c730a9bd9ee4f49de20d5c
53.0,20.0,26661.2,2021/02/01 20:16:22,c54b2404132977cb5abaa7f8c469b8464d96b2e4d8ed108f3e89e75abab18659,c352b534e8b987e036a93539fd6897f53488e56a,dcf227c475a43c82a4ffeb133729d6ce2f348a92
53.0,129.99,433693.4364,2021/08/23 16:25:14,07f01b87741a174230103ddc87366c4802060d9e9dc0523375cb1ae838bf4da7,b813c62ad216a274057cd602ad754e3ac8b914a6,e203882039bf2ae11fa04f52e885bde164d17112
89.0,1.5,336.48,2017/07/12 20:37:20,3493a6d2c3f8b427198401f0c4fbc8a59a413ff4a1efb2a8e112902396dcdf37,c352b534e8b987e036a93539fd6897f53488e56a,d8e80673419acfbf15bf8eb0239cda90f232051f
89.0,19.99,6800.9978,2020/09/06 15:32:11,7d697feb5c3d569df9d6d7af7050d9ddd2fc25de5154e7f7359c7ffcc484ef53,e8723d26ad5f7ff4ea8902d235f0a8f8b8802f6d,78f0269f5b1ca914c8c58993f41181f89e212b27
116.0,1.2,236.376,2017/07/11 22:13:16,f14f85bdc7888ea7c51cd1e1626e8a3270035f4d6ee1b92d31195ad70d95b8f2,c352b534e8b987e036a93539fd6897f53488e56a,d8e80673419acfbf15bf8eb0239cda90f232051f
116.0,2.4,410.904,2017/07/17 06:25:03,c8eb41245ba7f1fa1e7761cd431da19d632e26abddfe6fcc86f246077467f97d,d8e80673419acfbf15bf8eb0239cda90f232051f,582fa78399f03501802beff5b2ea2d0612c9a9e5
118.0,20.25,36407.07,2021/03/11 16:26:18,588b43916a6f40902a8f8353c8a2910a271e6d46b0f158325adaeeef01c3c9ca,3945476e477de76d53b4833a46c806ef3d72b21e,436a4adcc41eb18552a4138236041e8d4c575d6b
118.0,20.45,69018.5455,2021/05/04 20:41:28,c59086c8dd33a665d582316e2c12e312d8f876b4eae21819e5cdbc53b199f8cc,436a4adcc41eb18552a4138236041e8d4c575d6b,9179de43eafb051053f4ab99b9d9292d20eea723
124.0,15.0,25703.1,2021/03/07 23:33:02,feff291a8c1023b3d2053a8dd2ef34cdf2c413b0a1e630e5c374dd29d137c191,51636d9efbfb79631824dd6107d54f2dcf548359,84c920595cde2841a719fe5aa8be5166d8e7c6da
124.0,17.0,41975.89,2021/06/10 18:47:27,b53964f2c612f6f00711ec7fa6c2dc7f984e82ff5f1237b84eab2630ad30b004,f25e635a9f35c97df49c52637eddcdca64259ef8,8bfe24fb29f57a6fe885884963549d905dc035f2
138.0,14.0,29677.9,2021/04/06 15:50:14,5efd192009f5249be59fb84d7e8893767666f330b34351000ee00bff33e8732d,f98a39456903cfde206603bdd1e1d4227dbe1243,d4442b4c85e54c9e40304eedeaf0d9a5e6a4a072
138.0,57.99,192941.4285,2021/08/23 10:47:06,23f9c0215e2f29fd855aa2cecab59715968f58a56b8e5aca4eb82fdca6511ba7,1919db36ca2fa2e15f9000fd9cdc2edcf863e685,d049b3064990869c9f73bd7896271d83325d2067
139.0,24.99,44764.587,2021/03/11 18:04:37,38843c91cb21fed475632e20945cedaa2be57d1b64a74475918561a7099cd8a3,d79b9316ab0aed9b5f99f870b9f74c11d8d40cd5,aedaf3d364f56476e7bec717c63f645eb5b2ecdd
139.0,87.9,270131.643,2021/08/27 00:25:06,eac3b26349baf2809648ef9eabeb6fa5aef8159088e3f839b197bcdfe03f2b75,7c0830c2fc55e23d23eea9ae8536bdb43dcaba4c,f605c6c3caa1606afad60cfef1d37f76721640d7
141.0,33.99,72530.2413,2021/04/06 14:06:01,5f271ade64d0d53242e1f5daee188cfd42a586b28ee5f44b746974c885ed1e6b,50dd57f50a17d57304e7a4f262da30beb31c2e87,d7916592d68b9ab4bdc6d09fc0753feb02fe591c
141.0,39.5,87400.07,2021/07/27 08:38:17,02f2c357934e88df8257c2959d690e808d587111b8e92b24ab9a85a27eee2bbd,285be47bee9f9e4d9a16d9707c868eed10667020,78e6fe8e1d14a914c53b08e302e35443909dd24f
143.0,6.5,1045.72,2020/01/25 16:27:20,2b8b48dd52e6fc2ca3228e6f7c06828252cee191aa7ee2496ce53ede891b6aac,c352b534e8b987e036a93539fd6897f53488e56a,b268f20c03c39f00425db32c424fd5272220496e
143.0,180.0,416449.8,2021/07/04 09:24:23,e8b12137eddd0ebad6872b33e7d8f4732b2c851e598e783847cb2071ff21890d,09d4083ffd20d21acb9118465ad7c52ac8b548f7,9cb8c1463471ee4d8dd6887035f4835a1745e92a
150.0,128.0,387338.24,2021/10/01 00:56:47,dec400026c0c0a5ef84617d73b5aa8e216d958c383fd50be31081d4123d50b89,feeb2d7f276b319896f71431ef64fdf1e4ab8d5b,1919db36ca2fa2e15f9000fd9cdc2edcf863e685
150.0,138.99,460693.4742,2021/10/02 00:05:36,9ac599a0a536f8cbcf646974a661202d2f85c3628402349af87edf6355f741b3,1919db36ca2fa2e15f9000fd9cdc2edcf863e685,53fc455b233dd970c2d2c1bf2f3fa5543df660eb
160.0,30.0,58679.1,2021/02/19 22:02:59,f20849e3415282b5fd3f3acc13205bec3d34546e06b61a1e911edee42093c74f,c352b534e8b987e036a93539fd6897f53488e56a,54d7f921785ebe46010d83c73712e80dfaff1e81
160.0,53.0,126678.48,2021/04/21 22:03:14,1396d1772059c7fc25c3665628ea77d107222df28f38a664bac0e6979fa275f4,5654967dc2c3f207b68bbd8003bc27a0a4106b56,24f270bdf0eebbecda277b30cb67891d47b1a8ea
161.0,22.21,60075.1627,2021/04/28 02:00:52,efc084d17df3aec20f1844b0470da7fd1fcc9d2ba07a9d8ca2242767843fe879,3634f315da51a174f1e260eca870436acd537012,4b172710306decf6cfd12e8f0e6b3382d02627ed
161.0,89.47,282324.3744,2021/08/27 12:45:42,4980aee16762bc87f1cba0530a27282aa3ec8566499a151d44d1ddf25aa7d752,62bdc64a14405e797f86796ea3c2476209ee0bf9,f605c6c3caa1606afad60cfef1d37f76721640d7
169.0,1.0,127.89,2020/01/02 22:47:12,8d5ceae07d851f3751e62e99efd5fefdd85dc483ebf6a8c463ca994b4c42acd5,c352b534e8b987e036a93539fd6897f53488e56a,d387a6e4e84a6c86bd90c158c6028a58cc8ac459
169.0,56.0,137881.52,2021/07/31 12:59:22,786c6d3947d43e10e0c614de59152e13bbb681af556bd1b13c727b7857e83e40,2e5ccffbae934a9cb7e061fca7af01946e4e550e,cfc50541c3deaf725ce738ef87ace2ad778ba0c5
173.0,50.0,83633.5,2021/02/23 03:39:26,340ac8d104f6e34c084a39384724a6815e9a75d7a4c30e5814fc4570afc0d71a,c352b534e8b987e036a93539fd6897f53488e56a,50664ede715e131f584d3e7eaabd7818bb20a068
173.0,99.9,334474.191,2021/08/23 13:43:23,5c8c14d75c1d68d775140f5904d5ff82790c4290a3396ef457df8983fb9bb0d9,50664ede715e131f584d3e7eaabd7818bb20a068,000000000cc7e508b4b115e64d71ef374cfb7703
197.0,70.0,316692.6,2021/12/03 00:21:51,2b56ad8f14991e25fa64353e4a1e1c061b8b989d97362b82f089afbfc896fdab,5bf18d616dcd837e0c8ab0208e0c10f9ae2a4494,1919db36ca2fa2e15f9000fd9cdc2edcf863e685
197.0,65.0,242479.25,2021/12/30 22:17:22,b3c381276bec605d8753ef8a3c0cc6135debaea5181ce324c9c3d812fc408c4f,1919db36ca2fa2e15f9000fd9cdc2edcf863e685,a438ddd77fdbeca2496f0c5a39b317a67272ea4b
203.0,29.99,62077.2007,2021/04/08 22:57:37,82da590139d824ca38163800f323215f7aa33f5affd0fb11bb021523cb02a8eb,a201d0aea4ba83e3e8cb0449cd0ea50ca978c709,ab6ca2017548a170699890214bfd66583a0c1754
203.0,74.94,232830.3366,2022/02/11 09:53:27,71401f967a31c972c45ed712db91d41504ff2dd0b5ee3db541e950099a417294,3257d0a5e09bc140d255d062624f6fc573c2f839,bb416feca6c36a13e7848eaeab0099d02a3440b4
211.0,21.5,50918.88,2021/07/26 16:53:54,baf02305490b69eeb4c2c74bd93a19b71907c0146ae447f36e772d888cda693f,36ed2d75a82e180e0871456b15c239b73b4ee9f4,f0d6999725115e3ead3d927eb3329d63afaec09b
211.0,104.8,409416.92,2021/10/20 12:47:10,e288c363cd8775e15291f7673bf5c8d16f3b80c1d1dba9ab499a1b8449aa7558,f0d6999725115e3ead3d927eb3329d63afaec09b,f9f484ccfed1ae5bfe048a19c223514a926ffb52
229.0,120.0,408627.6,2021/10/04 00:15:56,6dd59d13d33c638a2e272b57b3475453713e6ceb33f845604fe3ef51f4cfef91,762ec7ca4658e76002447b0a29e1f44f575dbebc,1919db36ca2fa2e15f9000fd9cdc2edcf863e685
229.0,124.95,434117.5335,2021/10/12 20:00:24,775c3337d986f18b77c0601fa2025d99d66835d5b5d4ae14e223052488408552,6639c089adfba8bb9968da643c6be208a70d6daa,d7d3239511e5f9fd702c78bda9fe3dd8670d5be0
234.0,24.99,53410.1274,2021/07/03 04:47:00,bf480104ed1adf5fb2604c3a6c60f4e82a53a4fd742ad55d97c60926a691d1dd,5ad2d727cfa73fa89d5492f2b0292ca8df7b685e,df985c6f09a69ea9b69b8cba22b4b93f805fe587
