punk_id,txn_num
0.0,3
1.0,3
14.0,3
33.0,1
53.0,3
89.0,3
116.0,2
118.0,2
124.0,3
138.0,5
139.0,4
141.0,2
143.0,3
150.0,2
160.0,3
161.0,3
168.0,1
169.0,4
173.0,2
186.0,1
195.0,1
197.0,4
211.0,2
229.0,2
234.0,2
239.0,2
240.0,6
241.0,1
249.0,1
252.0,3
257.0,6
258.0,3
259.0,5
260.0,5
263.0,1
264.0,1
273.0,5
281.0,1
285.0,2
286.0,2
287.0,4
291.0,2
294.0,4
299.0,1
300.0,4
307.0,1
308.0,2
312.0,2
318.0,2
322.0,2
325.0,1
328.0,3
329.0,3
335.0,3
338.0,1
339.0,5
341.0,2
342.0,3
344.0,1
346.0,1
349.0,2
352.0,2
353.0,4
355.0,2
364.0,1
365.0,3
368.0,5
376.0,3
381.0,3
383.0,1
384.0,2
385.0,4
399.0,2
402.0,2
404.0,1
406.0,5
407.0,2
410.0,1
411.0,1
416.0,1
418.0,1
422.0,2
423.0,2
426.0,2
430.0,2
431.0,1
432.0,1
434.0,1
435.0,2
445.0,3
446.0,2
447.0,4
449.0,7
453.0,1
457.0,3
460.0,1
465.0,1
470.0,2
471.0,1
473.0,2
480.0,1
483.0,7
485.0,1
486.0,4
488.0,2
490.0,2
494.0,5
496.0,1
497.0,4
503.0,2
504.0,1
505.0,2
506.0,4
507.0,1
509.0,3
510.0,2
512.0,4
516.0,1
518.0,1
522.0,3
526.0,1
531.0,1
534.0,4
535.0,1
536.0,1
537.0,1
538.0,2
547.0,1
548.0,7
549.0,1
550.0,2
551.0,3
553.0,1
555.0,1
561.0,3
563.0,2
568.0,1
570.0,2
573.0,3
577.0,1
578.0,1
583.0,1
586.0,6
588.0,2
589.0,1
591.0,2
593.0,2
599.0,1
604.0,2
605.0,1
607.0,1
608.0,4
610.0,4
613.0,4
615.0,1
616.0,6
617.0,2
618.0,6
620.0,6
621.0,1
622.0,4
627.0,4
628.0,4
632.0,2
636.0,5
638.0,4
639.0,4
641.0,1
642.0,6
643.0,4
648.0,3
650.0,2
660.0,4
661.0,4
665.0,1
668.0,1
669.0,3
675.0,1
678.0,2
680.0,1
682.0,4
684.0,1
685.0,1
686.0,3
688.0,1
690.0,2
695.0,2
698.0,3
700.0,2
703.0,2
704.0,7
706.0,1
707.0,1
709.0,6
713.0,3
715.0,2
716.0,2
717.0,4
718.0,2
719.0,1
721.0,1
729.0,3
730.0,2
735.0,2
740.0,2
741.0,1
742.0,1
743.0,4
744.0,1
749.0,2
750.0,5
751.0,4
753.0,1
755.0,1
762.0,1
765.0,1
769.0,7
772.0,1
773.0,5
774.0,2
777.0,2
782.0,4
784.0,3
794.0,3
797.0,5
800.0,2
801.0,1
803.0,4
807.0,3
810.0,1
812.0,2
814.0,3
817.0,3
818.0,1
819.0,2
824.0,3
825.0,3
827.0,3
838.0,2
839.0,3
842.0,1
845.0,2
846.0,1
848.0,1
850.0,1
852.0,5
853.0,2
854.0,1
855.0,4
857.0,2
861.0,5
862.0,2
867.0,1
871.0,1
874.0,1
875.0,2
877.0,3
879.0,1
880.0,3
886.0,5
891.0,3
898.0,3
900.0,2
906.0,4
907.0,5
913.0,2
914.0,2
915.0,2
916.0,3
918.0,1
919.0,1
920.0,5
921.0,1
923.0,4
924.0,3
926.0,1
927.0,1
931.0,2
939.0,2
940.0,1
943.0,2
944.0,1
945.0,1
948.0,2
949.0,1
952.0,4
959.0,1
960.0,1
962.0,1
965.0,2
973.0,2
974.0,1
981.0,3
982.0,1
985.0,5
988.0,1
990.0,1
991.0,3
992.0,2
993.0,2
994.0,1
996.0,1
998.0,5
1000.0,4
1001.0,4
1002.0,1
1003.0,2
1004.0,1
1005.0,2
1006.0,3
1007.0,2
1009.0,3
1010.0,2
1011.0,6
1012.0,1
1013.0,3
1027.0,3
1029.0,4
1030.0,6
1032.0,1
1035.0,1
1036.0,2
1041.0,2
1042.0,1
1043.0,2
1044.0,2
1045.0,3
1050.0,1
1052.0,2
1054.0,4
1060.0,2
1061.0,1
1068.0,2
1069.0,1
1071.0,3
1072.0,7
1074.0,1
1075.0,4
1084.0,3
1086.0,1
1091.0,3
1092.0,8
1093.0,1
1094.0,3
1095.0,3
1096.0,2
1097.0,1
1100.0,4
1102.0,7
1105.0,1
1109.0,1
1110.0,3
1111.0,1
1113.0,1
1115.0,1
1116.0,3
1118.0,4
1119.0,3
1123.0,3
1127.0,6
1129.0,2
1139.0,7
1142.0,2
1143.0,1
1144.0,1
1147.0,1
1151.0,2
1155.0,5
1156.0,1
1160.0,2
1161.0,5
1162.0,2
1163.0,1
1164.0,1
1170.0,2
1171.0,1
1173.0,2
1175.0,2
1176.0,1
1177.0,1
1178.0,1
1179.0,1
1180.0,4
1181.0,1
1182.0,1
1183.0,2
1184.0,1
1185.0,1
1186.0,3
1187.0,2
1190.0,3
1191.0,1
1194.0,1
1196.0,2
1198.0,1
1203.0,1
1205.0,3
1209.0,4
1210.0,2
1211.0,2
1212.0,4
1215.0,4
1216.0,2
1222.0,1
1224.0,1
1225.0,2
1226.0,1
1231.0,1
1232.0,1
1234.0,2
1237.0,1
1238.0,2
1240.0,2
1241.0,4
1242.0,1
1243.0,3
1244.0,5
1251.0,4
1252.0,1
1253.0,2
1254.0,7
1256.0,2
1257.0,2
1258.0,1
1259.0,1
1261.0,3
1264.0,1
1265.0,1
1266.0,4
1267.0,3
1269.0,5
1271.0,2
1274.0,1
1275.0,2
1279.0,2
1280.0,2
1282.0,1
1284.0,1
1286.0,1
1287.0,3
1288.0,2
1289.0,2
1299.0,5
1302.0,3
1306.0,1
1308.0,2
1311.0,1
1314.0,1
1315.0,4
1316.0,7
1319.0,2
1320.0,2
1321.0,3
1322.0,1
1323.0,1
1324.0,7
1325.0,3
1326.0,2
1328.0,2
1330.0,4
1331.0,1
1334.0,2
1335.0,3
1338.0,4
1343.0,1
1345.0,2
1347.0,1
1348.0,1
1349.0,4
1350.0,2
1351.0,2
1352.0,1
1359.0,1
1360.0,4
1361.0,4
1362.0,13
1369.0,11
1370.0,2
1375.0,1
1378.0,3
1379.0,3
1380.0,1
1384.0,1
1385.0,6
1386.0,7
1388.0,2
1389.0,2
1390.0,1
1392.0,5
1394.0,5
1396.0,2
1397.0,5
1401.0,6
1402.0,2
1403.0,2
1404.0,1
1406.0,1
1407.0,2
1408.0,1
1411.0,1
1416.0,4
1417.0,4
1419.0,1
1420.0,3
1425.0,2
1426.0,3
1430.0,9
1433.0,1
1435.0,2
1436.0,8
1437.0,1
1438.0,1
1439.0,4
1440.0,5
1443.0,2
1444.0,1
1445.0,1
1446.0,6
1447.0,3
1448.0,2
1451.0,4
1454.0,7
1456.0,5
1458.0,4
1461.0,1
1462.0,4
1463.0,5
1465.0,1
1466.0,1
1467.0,6
1469.0,6
1473.0,4
1474.0,3
1475.0,5
1476.0,5
1477.0,1
1479.0,2
1480.0,4
1482.0,9
1483.0,1
1484.0,1
1486.0,1
1490.0,2
1492.0,1
1495.0,2
1499.0,1
1501.0,1
1502.0,4
1503.0,1
1504.0,2
1505.0,1
1506.0,1
1508.0,1
1509.0,2
1510.0,2
1513.0,4
1514.0,2
1516.0,3
1517.0,2
1518.0,1
1519.0,3
1520.0,6
1521.0,2
1522.0,4
1523.0,2
1524.0,3
1525.0,1
1527.0,2
1528.0,1
1529.0,1
1530.0,1
1532.0,4
1533.0,4
1535.0,3
1537.0,4
1538.0,1
1540.0,1
1541.0,1
1546.0,4
1548.0,2
1552.0,2
1555.0,2
1558.0,4
1559.0,1
1560.0,1
1561.0,5
1563.0,1
1564.0,4
1565.0,5
1566.0,2
1570.0,1
1573.0,1
1575.0,4
1580.0,3
1581.0,2
1584.0,1
1585.0,7
1586.0,6
1587.0,2
1588.0,4
1589.0,4
1590.0,2
1592.0,5
1594.0,2
1595.0,1
1597.0,1
1602.0,1
1605.0,9
1610.0,2
1611.0,2
1614.0,2
1617.0,2
1618.0,2
1621.0,1
1622.0,2
1623.0,6
1626.0,3
1628.0,1
1630.0,2
1631.0,3
1633.0,3
1636.0,3
1638.0,2
1639.0,2
1640.0,6
1641.0,1
1642.0,2
1643.0,1
1645.0,1
1646.0,1
1647.0,1
1648.0,7
1649.0,3
1650.0,3
1651.0,2
1654.0,1
1657.0,1
1659.0,1
1660.0,1
1662.0,1
1665.0,2
1666.0,1
1667.0,3
1668.0,1
1673.0,2
1676.0,5
1677.0,6
1679.0,1
1682.0,1
1683.0,7
1684.0,2
1686.0,1
1689.0,3
1691.0,4
1693.0,8
1694.0,1
1696.0,2
1698.0,1
1700.0,1
1702.0,5
1703.0,3
1705.0,1
1710.0,4
1711.0,5
1712.0,1
1713.0,1
1716.0,4
1717.0,1
1720.0,1
1722.0,4
1723.0,1
