punk_id,usd_diff
0.0,2514.7219999999998
1.0,31056.31
14.0,-81.23849999999999
53.0,390365.7564
89.0,2638.7978000000003
116.0,174.528
118.0,32611.475499999993
124.0,7670.080999999998
138.0,56632.528500000015
139.0,124696.0863
141.0,14869.828700000013
143.0,104454.59999999998
150.0,73355.2342
160.0,61104.479999999996
161.0,43053.034399999975
169.0,42270.919999999984
173.0,250840.691
197.0,8682.76999999999
203.0,-203264.78579999998
211.0,358498.04
229.0,25489.933500000043
234.0,138193.9026
239.0,7179.141000000003
240.0,22208.819999999992
252.0,170282.69999999998
257.0,52391.551999999996
258.0,27118.273499999996
259.0,3633.6300000000047
260.0,369512.5
273.0,981416.635
280.0,-68.14500000000001
283.0,-48413.2443
285.0,11828.631000000001
286.0,39435.0095
287.0,1128.4599999999955
291.0,31378.440000000002
294.0,9525.557499999999
300.0,-25426.402499999997
308.0,242051.75500000003
312.0,201894.79200000002
318.0,14843.405000000006
322.0,16457.519999999997
328.0,65907.5
329.0,-1497.739499999996
332.0,-29864.4629
335.0,304283.10000000003
339.0,344363.26
340.0,-125810.59999999998
341.0,362601.5283
342.0,89725.0527
349.0,28557.105900000024
352.0,25898.598899999997
353.0,295462.627
355.0,-46.49850000000001
365.0,33142.6397
368.0,155197.0
376.0,23531.235799999995
381.0,48532.979400000004
382.0,495757.2568
384.0,41519.3
385.0,-126452.6703
387.0,-361202.79999999993
399.0,59719.283999999985
402.0,8652.0867
406.0,279719.25
407.0,45058.419999999984
422.0,307372.1974
423.0,227495.755
426.0,40785.877
430.0,53701.105200000005
435.0,99496.958
445.0,412993.11
446.0,34315.0474
447.0,30507.870000000003
449.0,-10113.273000000001
457.0,22044.69199999998
470.0,2569.028400000003
473.0,33532.79400000001
483.0,213869.3468
486.0,16025.400000000009
488.0,33.783599999995204
489.0,-110508.56399999995
490.0,296280.649
494.0,72726.65000000002
497.0,-17191.079100000003
501.0,305179.955
503.0,238320.22999999998
505.0,115245.475
506.0,19755.7327
509.0,3680.8899999999994
510.0,2527.9339999999997
512.0,280258.2213
522.0,3692.771399999998
534.0,41488.365500000014
538.0,16442.308900000004
544.0,2001.9365
548.0,-37764.109999999986
550.0,43334.84269999998
551.0,5450.848800000007
561.0,1345505.0
563.0,233740.9
564.0,-165409.4988
570.0,63908.61989999999
573.0,948245.4248
586.0,76931.94840000002
588.0,55396.649999999994
591.0,5322.627
593.0,63783.850000000006
596.0,-160190.2134
604.0,-296.08000000000175
608.0,484356.4
610.0,631591.332
613.0,48485.11350000001
616.0,155609.975
617.0,-189.3869999999879
618.0,12777.617499999993
620.0,3947.850000000006
622.0,272394.7611
627.0,342604.9
628.0,-90682.04639999999
632.0,70754.32
636.0,62112.921700000006
638.0,169428.40000000002
639.0,447373.705
642.0,79036.58999999997
643.0,151676.67419999998
648.0,90868.5575
650.0,137241.65760000004
660.0,115372.36499999999
661.0,341398.125
669.0,42885.0775
678.0,4155.4329
682.0,6408.609799999998
686.0,138462.5123
690.0,127964.71779999998
695.0,56527.05799999999
698.0,442106.9351
700.0,25120.300900000002
703.0,296331.77400000003
704.0,2652.9012999999977
709.0,86139.71999999997
713.0,13365.76999999996
715.0,9237.277999999991
716.0,143031.6384
717.0,1679.8020000000033
718.0,17587.123500000016
729.0,17589.489999999998
730.0,31687.1
735.0,343776.6762
740.0,57925.10029999999
743.0,29249.774100000002
749.0,72404.9461
750.0,212632.46599999996
751.0,401140.2025
759.0,-31134.921700000006
769.0,2022.6918000000296
773.0,57731.600000000006
774.0,53030.32000000001
777.0,13618.0296
782.0,150963.3408
784.0,173930.9799
793.0,-110962.89650000003
794.0,53045.02000000002
797.0,16767.57500000001
800.0,92209.96090000006
803.0,14981.7425
807.0,11935.241999999998
812.0,31116.420000000002
814.0,-62058.225600000005
817.0,144936.41199999998
819.0,4916.32
820.0,-32430.824500000002
824.0,520891.56
825.0,18224.1985
827.0,155317.75
836.0,-117879.51200000002
838.0,558.0915
839.0,-6416.798799999997
843.0,-34613.023799999995
845.0,67566.8145
852.0,53704.785
853.0,5821.095000000001
855.0,158963.261
857.0,31096.75
861.0,451710.35000000003
862.0,50989.25650000002
875.0,471.184
877.0,391491.15
880.0,112078.76999999999
883.0,400434.3568
886.0,18958.63900000001
891.0,358863.79310000007
898.0,9945.342000000004
900.0,8429.725800000015
906.0,15428.766800000012
907.0,126318.36520000001
913.0,35168.19650000002
914.0,-8059.050000000003
915.0,281417.832
916.0,165388.68000000002
920.0,256886.28500000003
923.0,37797.79199999999
924.0,372075.7409
931.0,558.0915
939.0,86839.0
943.0,-25488.140000000014
948.0,174791.65000000002
950.0,-54.995999999999995
952.0,65348.86169999998
965.0,2054.68
973.0,44877.4583
981.0,16942.885200000004
983.0,-313483.8
985.0,-103407.68
991.0,265606.2988
992.0,88005.792
993.0,41934.729999999996
998.0,386.13899999999995
1000.0,360784.61699999997
1001.0,518354.235
1003.0,6395.18
1005.0,29453.82
1006.0,-14814.6374
1007.0,211661.245
1009.0,284798.18
1010.0,146203.41999999998
1011.0,327091.656
1013.0,289926.547
1014.0,333470.4048
1015.0,-26124.092000000004
1027.0,912877.7326999999
1029.0,-82435.53999999998
1030.0,17748.40800000001
1036.0,154.571
1041.0,15804.784
1043.0,141806.7816
1044.0,36438.904
1045.0,11561.088499999983
1052.0,4.5364
1054.0,2714.0195999999996
1060.0,18.346199999999996
1062.0,311776.77
1068.0,-1454.6399999999994
1071.0,6305.913100000005
1072.0,138629.1085
1075.0,11896.736199999992
1083.0,-41.35932205159929
1084.0,40441.340000000004
1085.0,-89005.038
1091.0,13034.459999999963
1092.0,139059.5
1094.0,458847.16000000003
1095.0,141349.3034
1096.0,5604.975
1100.0,8410.714
1102.0,153593.92
1110.0,-34525.720700000005
1116.0,214052.3
1118.0,90396.56499999999
1119.0,405562.75639999995
1123.0,25266.48000000001
1127.0,1349.9849000000013
1129.0,32255.986099999995
1139.0,-4146.8631999999925
1142.0,325431.2939
1146.0,103743.87125000001
1151.0,44753.10309999999
1155.0,74900.6969
1160.0,7351.1718
1161.0,21276.854500000016
1162.0,223872.1787
1170.0,-56.13199999999999
1173.0,10476.926000000036
1175.0,85342.196
1180.0,-31624.579999999987
1183.0,175018.436
1186.0,48826.380000000005
1187.0,37020.14799999999
1190.0,1395543.36
1196.0,24094.625
1205.0,51341.369999999995
1209.0,484209.99999999994
1210.0,300188.75
1211.0,36.4231
1212.0,11472.504400000005
1215.0,87338.0172
1216.0,62.64
1225.0,243261.13999999998
1234.0,251.55000000000018
1236.0,-33.911
1238.0,5981.699500000001
1240.0,27895.22
1241.0,467321.66000000003
1243.0,39494.100999999995
1244.0,193.75150000000002
1251.0,600475.96
1253.0,43320.5013
1254.0,15378.487300000008
1256.0,27.594
1257.0,22.791400000000003
1261.0,119778.18969999999
1266.0,-7863.5
1267.0,291183.65949999995
1269.0,224019.585
1270.0,532373.43
1271.0,382296.01
1275.0,198827.0785
1279.0,65438.8922
1280.0,2386.0625
1287.0,121062.1204
1288.0,8152.599399999999
1289.0,109312.2609
1290.0,366765.74199999997
1299.0,8534.443
1302.0,193696.5
1308.0,213246.24
1315.0,84636.94140000001
1316.0,3622.859999999986
1319.0,-97426.21199999997
1320.0,15288.144
1321.0,2130.1445999999996
1324.0,33.54827899999998
1325.0,12583.675599999995
1326.0,105232.435
1328.0,459958.75
1330.0,500.847
1334.0,7917.9025
1335.0,4273.4057999999995
1338.0,70482.16500000001
1340.0,-61710.3851
1345.0,5269.429999999993
1349.0,25750.134
1350.0,16698.621499999997
1351.0,1258.8652
1353.0,111155.03
1360.0,61.544700000000034
1361.0,1077.0800000000017
1362.0,9522.427500000049
1369.0,175548.17909999998
1370.0,-14053.080000000009
1374.0,503.3882
1376.0,-60550.654500000004
1378.0,719.5774999999994
1379.0,295265.5356
1385.0,3149.209999999999
1386.0,88357.59999999998
1387.0,26721.803
1388.0,83341.9382
1389.0,10392.536100000001
1392.0,441851.1772
1394.0,28560.50999999998
1396.0,37.705242
1397.0,7915.759999999998
1398.0,45360.3064
1401.0,319011.765
1402.0,-2806.909999999996
1403.0,28.308600000000013
1407.0,-44.829600000000006
1416.0,2097.21
1417.0,35267.157400000026
1420.0,79762.96729999999
1422.0,2005781.0325
