punk_id,eth_diff
0.0,24.02
1.0,59.58
14.0,1.6
53.0,109.99000000000001
89.0,18.49
116.0,1.2
118.0,0.1999999999999993
124.0,2.0
138.0,43.99
139.0,62.91000000000001
141.0,5.509999999999998
143.0,173.5
150.0,10.990000000000009
160.0,23.0
161.0,67.25999999999999
169.0,55.0
173.0,49.900000000000006
197.0,-5.0
203.0,44.95
211.0,83.3
229.0,4.950000000000003
234.0,44.010000000000005
239.0,2.0500000000000007
240.0,42.0
252.0,45.0
257.0,49.5
258.0,15.0
259.0,124.5
260.0,115.0
273.0,263.0
280.0,-0.95
283.0,-27.279999999999998
285.0,2.0
286.0,5.509999999999998
287.0,-2.4899999999999984
291.0,8.0
294.0,10.0
300.0,4.260000000000005
308.0,49.6
312.0,70.3
318.0,1.0
322.0,4.0
328.0,30.12
329.0,-0.08999999999999986
332.0,-6.239999999999998
335.0,48.0
339.0,189.0
340.0,90.0
341.0,100.01
342.0,127.19
349.0,5.799999999999997
352.0,1.1999999999999993
353.0,85.0
355.0,0.15000000000000002
365.0,23.23
368.0,50.010000000000005
376.0,4.91
381.0,16.01
382.0,129.49
384.0,24.200000000000003
385.0,91.96
387.0,-70.0
399.0,4.900000000000006
402.0,0.9899999999999984
406.0,256.5
407.0,4.0
422.0,80.00999999999999
423.0,74.0
426.0,17.95
430.0,16.41
435.0,28.05
445.0,144.35
446.0,13.989999999999998
447.0,10.5
449.0,17.76
457.0,104.94999999999999
470.0,1.0899999999999999
473.0,6.989999999999998
483.0,64.5
486.0,27.0
488.0,2.2600000000000016
489.0,45.5
490.0,48.1
494.0,95.0
497.0,-0.010000000000001563
501.0,124.35
503.0,61.0
505.0,25.75
506.0,29.0
509.0,3.0500000000000007
510.0,20.05
512.0,97.49000000000001
522.0,0.00999999999999801
534.0,64.95
538.0,1.0100000000000016
544.0,5.49
548.0,46.4
550.0,17.989999999999995
551.0,7.380000000000003
561.0,478.0
563.0,60.0
564.0,39.489999999999995
570.0,15.989999999999995
573.0,274.88
586.0,40.0
588.0,30.0
591.0,1.3000000000000007
593.0,25.0
596.0,8.469999999999999
604.0,0.0
608.0,165.0
610.0,218.0
613.0,72.5
616.0,89.0
617.0,-3.6000000000000014
618.0,72.26
620.0,27.01
622.0,88.0
627.0,128.9899
628.0,97.88
632.0,15.5
636.0,19.989999999999995
638.0,162.0
639.0,127.0
642.0,118.8
643.0,56.31
648.0,42.4
650.0,34.99000000000001
660.0,73.31
661.0,51.0
669.0,6.700000000000003
678.0,2.1900000000000013
682.0,-6.0
686.0,60.0
690.0,29.310000000000002
695.0,1.4000000000000057
698.0,157.5
700.0,2.6299999999999955
703.0,87.01
704.0,39.010000000000005
709.0,106.75
713.0,40.0
715.0,2.3999999999999986
716.0,31.99000000000001
717.0,5.209999999999999
718.0,6.989999999999995
729.0,-1.9899999999999984
730.0,2.5
735.0,85.09
740.0,-10.010000000000005
743.0,-0.7899999999999991
749.0,15.010000000000002
750.0,86.0
751.0,126.5
759.0,12.000000000000004
769.0,44.7
773.0,38.010000000000005
774.0,7.0
777.0,17.49
782.0,69.99000000000001
784.0,94.0
793.0,-7.049999999999997
794.0,50.0
797.0,21.310000000000002
800.0,15.079999999999984
803.0,6.949999999999999
807.0,8.8
812.0,14.0
814.0,100.88
817.0,48.0
819.0,2.0
820.0,-4.850000000000001
824.0,170.0
825.0,24.990000000000002
827.0,122.0
836.0,66.7
838.0,2.49
839.0,3.490000000000002
843.0,101.39
845.0,20.509999999999998
852.0,31.0
853.0,1.5
855.0,74.91000000000001
857.0,10.0
861.0,135.7
862.0,15.789999999999992
875.0,1.6
877.0,158.3
880.0,31.0
883.0,159.49
886.0,18.000000000000004
891.0,140.99
898.0,57.730000000000004
900.0,3.0
906.0,63.6
907.0,68.73
913.0,9.950000000000003
914.0,3.5
915.0,84.6
916.0,90.0
920.0,127.0
923.0,65.01
924.0,253.19
931.0,2.49
939.0,30.0
943.0,0.0
948.0,55.0
950.0,-0.2
952.0,41.7
965.0,2.0
973.0,4.989999999999995
981.0,16.99
983.0,-84.0
985.0,96.0
991.0,74.01
992.0,35.2
993.0,19.5
998.0,3.15
1000.0,149.25
1001.0,167.695
1003.0,0.0
1005.0,12.0
1006.0,3.75
1007.0,44.5
1009.0,75.0
1010.0,32.0
1011.0,100.35
1013.0,119.51
1014.0,99.52
1015.0,-15.780000000000001
1027.0,289.77
1029.0,72.75
1030.0,23.5
1036.0,0.85
1041.0,4.100000000000001
1043.0,19.879999999999995
1044.0,19.799999999999997
1045.0,76.5
1052.0,0.03999999999999998
1054.0,23.79
1060.0,0.64
1062.0,75.25
1068.0,0.0
1071.0,33.67
1072.0,86.55
1075.0,31.79
1083.0,-0.21169498926531102
1084.0,18.25
1085.0,-44.05
1091.0,7.010000000000005
1092.0,89.85
1094.0,198.5
1095.0,40.0
1096.0,2.5
1100.0,24.45
1102.0,87.9
1110.0,18.0
1116.0,104.85
1118.0,44.0
1119.0,200.04000000000002
1123.0,52.0
1127.0,9.75
1129.0,0.5
1139.0,10.990000000000002
1142.0,88.01
1146.0,40.85
1151.0,-0.990000000000002
1155.0,47.800000000000004
1160.0,6.119999999999999
1161.0,66.96000000000001
1162.0,72.99
1170.0,0.06999999999999999
1173.0,8.400000000000006
1175.0,26.900000000000006
1180.0,98.88
1183.0,84.1
1186.0,50.0
1187.0,-15.099999999999994
1190.0,368.0
1196.0,12.5
1205.0,8.5
1209.0,155.0
1210.0,25.0
1211.0,0.13999999999999999
1212.0,22.71
1215.0,57.865
1216.0,0.30000000000000004
1225.0,78.0
1234.0,0.5
1236.0,-0.12
1238.0,4.11
1240.0,14.0
1241.0,104.0
1243.0,53.989999999999995
1244.0,1.65
1251.0,122.01
1253.0,28.299000000000003
1254.0,54.6944444
1256.0,0.10000000000000003
1257.0,0.04000000000000001
1261.0,14.989999999999995
1266.0,24.95
1267.0,103.86
1269.0,78.0
1270.0,149.9
1271.0,113.0
1275.0,65.99
1279.0,29.74000000000001
1280.0,1.25
1287.0,48.638999999999996
1288.0,0.0
1289.0,36.010000000000005
1290.0,121.65
1299.0,24.7
1302.0,69.5
1308.0,48.0
1315.0,99.78
1316.0,93.45
1319.0,9.150000000000006
1320.0,6.010000000000002
1321.0,-3.0
1324.0,1.3049
1325.0,5.879999999999999
1326.0,38.5
1328.0,125.0
1330.0,2.5
