punk_id,eth_diff
0.0,23.4
1.0,29.0
14.0,0.6499999999999999
53.0,107.99000000000001
89.0,-0.010000000000001563
116.0,1.2
118.0,0.1999999999999993
124.0,-2.8999999999999986
138.0,15.990000000000002
139.0,41.910000000000004
141.0,5.509999999999998
143.0,15.0
150.0,10.990000000000009
160.0,13.0
161.0,12.469999999999999
169.0,11.0
173.0,49.900000000000006
197.0,1.0
203.0,-53.94
211.0,83.3
229.0,4.950000000000003
234.0,44.010000000000005
239.0,2.0500000000000007
240.0,5.0
252.0,28.0
257.0,4.010000000000005
258.0,10.010000000000002
259.0,0.0
260.0,115.0
273.0,238.5
280.0,-0.95
283.0,-27.279999999999998
285.0,2.0
286.0,5.509999999999998
287.0,0.5
291.0,8.0
294.0,5.75
300.0,-13.049999999999997
308.0,49.6
312.0,70.3
318.0,1.0
322.0,4.0
328.0,10.0
329.0,1.9499999999999993
332.0,-6.239999999999998
335.0,55.0
339.0,84.0
340.0,-60.0
341.0,100.01
342.0,27.789999999999992
349.0,5.799999999999997
352.0,1.1999999999999993
353.0,84.01
355.0,0.15000000000000002
365.0,21.900000000000002
368.0,38.0
376.0,1.889999999999997
381.0,15.010000000000002
382.0,129.49
384.0,24.200000000000003
385.0,-7.990000000000009
387.0,-70.0
399.0,4.900000000000006
402.0,0.9899999999999984
406.0,85.0
407.0,4.0
422.0,80.00999999999999
423.0,74.0
426.0,17.95
430.0,16.41
435.0,28.05
445.0,74.0
446.0,13.989999999999998
447.0,9.5
449.0,-2.739999999999995
457.0,37.94999999999999
470.0,1.0899999999999999
473.0,6.989999999999998
483.0,61.11
486.0,1.0
488.0,2.2600000000000016
489.0,-16.200000000000003
490.0,48.1
494.0,35.0
497.0,3.099999999999998
501.0,124.35
503.0,61.0
505.0,25.75
506.0,6.030000000000001
509.0,2.0
510.0,20.05
512.0,113.99000000000001
522.0,2.009999999999998
534.0,12.950000000000003
538.0,1.0100000000000016
544.0,5.49
548.0,2.799999999999997
550.0,17.989999999999995
551.0,1.8800000000000026
561.0,125.0
563.0,60.0
564.0,-62.010000000000005
570.0,15.989999999999995
573.0,267.88
586.0,15.43
588.0,30.0
591.0,1.3000000000000007
593.0,25.0
596.0,-62.230000000000004
604.0,0.0
608.0,155.0
610.0,191.12
613.0,17.310000000000002
616.0,48.5
617.0,-3.6000000000000014
618.0,4.0
620.0,-3.0
622.0,75.79
627.0,127.5
628.0,-19.120000000000005
632.0,15.5
636.0,14.989999999999995
638.0,50.0
639.0,132.5
642.0,33.0
643.0,46.02
648.0,35.01
650.0,34.99000000000001
660.0,20.5
661.0,71.25
669.0,2.240000000000002
678.0,2.1900000000000013
682.0,0.10999999999999943
686.0,27.230000000000004
690.0,29.310000000000002
695.0,1.4000000000000057
698.0,110.01
700.0,2.6299999999999955
703.0,87.01
704.0,-10.489999999999995
709.0,27.0
713.0,-13.0
715.0,2.3999999999999986
716.0,31.99000000000001
717.0,1.3999999999999986
718.0,6.989999999999995
729.0,2.0
730.0,2.5
735.0,85.09
740.0,-10.010000000000005
743.0,5.210000000000001
749.0,15.010000000000002
750.0,69.1
751.0,121.75
759.0,-9.759999999999998
769.0,8.310000000000002
773.0,15.5
774.0,7.0
777.0,17.49
782.0,49.980000000000004
784.0,60.010000000000005
793.0,-20.049999999999997
794.0,18.0
797.0,2.5
800.0,15.079999999999984
803.0,5.0
807.0,7.800000000000001
812.0,14.0
814.0,8.889999999999986
817.0,42.4
819.0,2.0
820.0,-8.875
824.0,163.0
825.0,6.990000000000002
827.0,52.5
836.0,-56.400000000000006
838.0,2.49
839.0,-0.00999999999999801
843.0,-47.010000000000005
845.0,20.509999999999998
852.0,12.25
853.0,1.5
855.0,25.10000000000001
857.0,10.0
861.0,133.0
862.0,15.789999999999992
875.0,1.6
877.0,145.0
880.0,27.0
883.0,159.49
886.0,4.480000000000004
891.0,89.99000000000001
898.0,4.950000000000003
900.0,3.0
906.0,3.009999999999998
907.0,29.000000000000007
913.0,9.950000000000003
914.0,3.5
915.0,84.6
916.0,47.0
920.0,14.5
923.0,15.900000000000006
924.0,134.69
931.0,2.49
939.0,30.0
943.0,0.0
948.0,55.0
950.0,-0.2
952.0,9.689999999999998
965.0,2.0
973.0,4.989999999999995
981.0,7.509999999999998
983.0,-84.0
985.0,-12.0
991.0,62.01
992.0,35.2
993.0,19.5
998.0,1.95
1000.0,105.1
1001.0,155.5
1003.0,0.0
1005.0,12.0
1006.0,0.26000000000000156
1007.0,44.5
1009.0,67.0
1010.0,32.0
1011.0,100.0
1013.0,79.58
1014.0,99.52
1015.0,-16.759999999999998
1027.0,274.99
1029.0,7.0
1030.0,1.0199999999999996
1036.0,0.85
1041.0,4.100000000000001
1043.0,19.879999999999995
1044.0,19.799999999999997
1045.0,5.950000000000003
1052.0,0.03999999999999998
1054.0,0.9299999999999997
1060.0,0.64
1062.0,75.25
1068.0,0.0
1071.0,1.9699999999999989
1072.0,63.96000000000001
1075.0,1.990000000000002
1083.0,-0.21169498926531102
1084.0,20.0
1085.0,-17.049999999999997
1091.0,7.0
1092.0,2.0
1094.0,149.0
1095.0,31.14
1096.0,2.5
1100.0,5.010000000000002
1102.0,64.0
1110.0,19.53
1116.0,56.0
1118.0,38.5
1119.0,100.04000000000002
1123.0,8.0
1127.0,0.009999999999999787
1129.0,0.5
1139.0,1.0900000000000034
1142.0,88.01
1146.0,40.625
1151.0,-0.990000000000002
1155.0,18.470000000000002
1160.0,6.119999999999999
1161.0,10.450000000000003
1162.0,72.99
1170.0,0.06999999999999999
1173.0,8.400000000000006
1175.0,26.900000000000006
1180.0,32.0
1183.0,84.1
1186.0,-4.0
1187.0,-15.099999999999994
1190.0,368.0
1196.0,12.5
1205.0,7.5
1209.0,127.03999999999999
1210.0,25.0
1211.0,0.13999999999999999
1212.0,5.219999999999999
1215.0,20.189999999999998
1216.0,0.30000000000000004
1225.0,78.0
1234.0,0.5
1236.0,-0.12
1238.0,4.11
1240.0,14.0
1241.0,103.0
1243.0,24.999999999999993
1244.0,0.95
1251.0,109.0
1253.0,28.299000000000003
1254.0,2.3100000000000023
1256.0,0.10000000000000003
1257.0,0.04000000000000001
1261.0,-15.010000000000005
1266.0,0.0
1267.0,29.849999999999994
1269.0,49.5
1270.0,149.9
1271.0,113.0
1275.0,65.99
1279.0,29.74000000000001
1280.0,1.25
1287.0,43.739999999999995
1288.0,0.0
1289.0,36.010000000000005
1290.0,121.65
1299.0,1.0
1302.0,60.0
1308.0,48.0
1315.0,25.980000000000004
1316.0,2.950000000000003
1319.0,9.150000000000006
1320.0,6.010000000000002
1321.0,1.1199999999999992
1324.0,0.14490000000000003
1325.0,5.379999999999999
1326.0,38.5
1328.0,125.0
1330.0,2.55
1334.0,2.75
1335.0,1.0
1338.0,31.5
1340.0,-14.81
1345.0,1.75
1349.0,18.049999999999997
1350.0,12.489999999999998
1351.0,3.53
1353.0,42.5
1360.0,0.28
1361.0,-4.0
1362.0,10.950000000000003
1369.0,46.72
1370.0,-1.0
1374.0,-0.49
1376.0,-12.030000000000001
1378.0,0.15000000000000036
1379.0,84.02
1385.0,0.5
1386.0,10.0
1387.0,13.700000000000001
1388.0,20.710000000000004
1389.0,4.389999999999999
1392.0,121.99
1394.0,12.0
1396.0,0.1401
1397.0,8.0
1398.0,28.54
1401.0,95.5
1402.0,0.3999999999999986
1403.0,-0.020000000000000018
1407.0,0.07999999999999996
1416.0,4.8999999999999995
1417.0,29.379999999999995
1420.0,18.009999999999998
1422.0,499.75
1424.0,49.52
1425.0,-0.04999999999999999
1426.0,50.1
1430.0,-1.5499999999999972
1435.0,3.710000000000001
1436.0,2.0
1439.0,1.0700000000000074
1440.0,33.6
1443.0,87.5
1446.0,7.010000000000005
1447.0,48.51
1448.0,5.5
1451.0,1.0
1454.0,4.950000000000003
1456.0,0.25
1458.0,26.02
1462.0,9.989999999999995
1463.0,-11.0
1464.0,90.95
1467.0,0.010000000000001563
1469.0,0.6400000000000006
1473.0,-1.0999999999999996
1474.0,12.990000000000002
1475.0,83.05
1476.0,15.0
1479.0,1.0
1480.0,2.950000000000003
1482.0,8.0
1489.0,-9.000000000000004
1490.0,21.25
1495.0,8.010000000000002
1502.0,22.050000000000004
1504.0,22.710000000000004
1507.0,99.8
1509.0,0.030000000000000027
1510.0,3.49
1512.0,-0.239
1513.0,6.990000000000002
1514.0,75.0
1516.0,8.010000000000002
1517.0,22.0
1519.0,0.33999999999999997
1520.0,-0.060000000000002274
1521.0,17.61
1522.0,3.5
1523.0,5.0
1524.0,0.40000000000000036
1527.0,5.98
1532.0,25.14
1533.0,-1.2999999999999972
1535.0,1.0
1537.0,1.55
1539.0,-0.06
1546.0,44.9
1548.0,23.37
1552.0,-1.4899999999999984
1555.0,0.07677777999999999
1557.0,93.1944444
1558.0,14.0
1561.0,61.91000000000001
1564.0,0.6999999999999993
1565.0,0.25
1566.0,13.0
1575.0,4.469999999999999
1580.0,8.950000000000003
1581.0,0.38
1585.0,1.0100000000000016
1586.0,2.0100000000000016
1587.0,6.0
1588.0,102.5
1589.0,9.1
1590.0,1.9
1592.0,2.75
1594.0,58.95
