punk_id,usd_diff
0.0,2583.5902
1.0,36064.6812
14.0,45.798
53.0,407032.2364
89.0,6464.5178
116.0,174.528
118.0,32611.475499999993
124.0,16272.79
138.0,163263.52850000001
139.0,225367.05599999998
141.0,14869.828700000013
143.0,415404.08
150.0,73355.2342
160.0,67999.38
161.0,222249.21169999999
169.0,137753.62999999998
173.0,250840.691
197.0,-74213.34999999998
203.0,170753.1359
211.0,358498.04
229.0,25489.933500000043
234.0,138193.9026
239.0,7179.141000000003
240.0,101031.28
252.0,231587.59999999998
257.0,202613.615
258.0,43016.01999999999
259.0,453958.62
260.0,273061.9
273.0,1023957.7999999999
280.0,-68.14500000000001
283.0,-48413.2443
285.0,11828.631000000001
286.0,39435.0095
287.0,-13084.6368
291.0,31378.440000000002
294.0,16954.84
300.0,-45463.520099999994
308.0,242051.75500000003
312.0,201894.79200000002
318.0,14843.405000000006
322.0,16457.519999999997
328.0,131659.90840000001
329.0,-7050.675599999995
332.0,-29864.4629
335.0,288447.68000000005
339.0,678637.16
340.0,429911.9
341.0,362601.5283
342.0,407612.5527
349.0,28557.105900000024
352.0,25898.598899999997
353.0,295086.4
355.0,-46.49850000000001
365.0,41391.6385
368.0,200449.35580000002
376.0,26156.625999999997
381.0,58567.998400000004
382.0,495757.2568
384.0,41519.3
385.0,302662.4252
387.0,-361202.79999999993
399.0,59719.283999999985
402.0,8652.0867
406.0,884325.735
407.0,45058.419999999984
422.0,307372.1974
423.0,227495.755
426.0,40785.877
430.0,53701.105200000005
435.0,99496.958
445.0,550461.736
446.0,34315.0474
447.0,26799.495000000003
449.0,51076.379199999996
457.0,256179.812
470.0,2569.028400000003
473.0,33532.79400000001
483.0,226365.29
486.0,65731.68000000001
488.0,33.783599999995204
489.0,232268.78500000003
490.0,296280.649
494.0,275582.9
497.0,15420.9248
501.0,305179.955
503.0,238320.22999999998
505.0,115245.475
506.0,73205.61
509.0,7611.806499999999
510.0,2527.9339999999997
512.0,215281.1963
522.0,-4419.862699999998
534.0,358040.6055
538.0,16442.308900000004
544.0,2001.9365
548.0,110403.214
550.0,43334.84269999998
551.0,23226.468800000002
561.0,2379972.88
563.0,233740.9
564.0,201303.17620000002
570.0,63908.61989999999
573.0,968012.1648
586.0,171490.53840000002
588.0,55396.649999999994
591.0,5322.627
593.0,63783.850000000006
596.0,119218.69959999999
604.0,-296.08000000000175
608.0,576033.95
610.0,694861.1
613.0,245403.515
616.0,267600.77
617.0,-189.3869999999879
618.0,340953.4973
620.0,108830.5258
622.0,311025.077
627.0,342823.66996800003
628.0,300508.71359999996
632.0,70754.32
636.0,135932.2217
638.0,411587.46
639.0,440394.86
642.0,531636.6359999999
643.0,201061.86119999998
648.0,119045.464
650.0,137241.65760000004
660.0,335813.4611
661.0,288723.77999999997
669.0,42957.2917
678.0,4155.4329
682.0,-3028.2790999999997
686.0,235732.95
690.0,127964.71779999998
695.0,56527.05799999999
698.0,554711.525
700.0,25120.300900000002
703.0,296331.77400000003
704.0,117543.3513
709.0,372793.665
713.0,178259.19999999995
715.0,9237.277999999991
716.0,143031.6384
717.0,4814.955000000002
718.0,17587.123500000016
729.0,13012.844799999999
730.0,31687.1
735.0,343776.6762
740.0,57925.10029999999
743.0,17643.434100000006
749.0,72404.9461
750.0,246630.63999999996
751.0,407851.885
759.0,77861.5412
769.0,201136.173
773.0,168988.3302
774.0,53030.32000000001
777.0,13618.0296
782.0,219420.95380000002
784.0,266218.54
793.0,50058.62349999999
794.0,157096.0
797.0,101565.1527
800.0,92209.96090000006
803.0,10111.750500000002
807.0,10477.212
812.0,31116.420000000002
814.0,283866.70879999996
817.0,158547.65999999997
819.0,4916.32
820.0,-2733.7030000000013
824.0,537289.6
825.0,36525.758499999996
827.0,319563.66
836.0,252063.379
838.0,558.0915
839.0,669.2946000000011
843.0,233121.8842
845.0,67566.8145
852.0,108082.11
853.0,5821.095000000001
855.0,361049.9841
857.0,31096.75
861.0,452749.631
862.0,50989.25650000002
875.0,471.184
877.0,447770.226
880.0,129142.84999999999
883.0,400434.3568
886.0,71562.28970000001
891.0,520934.9931000001
898.0,150187.9548
900.0,8429.725800000015
906.0,262279.12
907.0,230121.4813
913.0,35168.19650000002
914.0,-8059.050000000003
915.0,281417.832
916.0,278177.10000000003
920.0,611097.91
923.0,232592.49659999998
924.0,640686.3058999999
931.0,558.0915
939.0,86839.0
943.0,-25488.140000000014
948.0,174791.65000000002
950.0,-54.995999999999995
952.0,184947.8349
965.0,2054.68
973.0,44877.4583
981.0,46777.326
983.0,-313483.8
985.0,398989.66
991.0,271595.0197
992.0,88005.792
993.0,41934.729999999996
998.0,663.516
1000.0,483582.8925
1001.0,537154.04415
1003.0,6395.18
1005.0,29453.82
1006.0,13920.2725
1007.0,211661.245
1009.0,308338.65
1010.0,146203.41999999998
1011.0,357942.1685
1013.0,438094.72089999996
1014.0,333470.4048
1015.0,-17541.43400000001
1027.0,939758.3280999999
1029.0,177522.44
1030.0,85063.375
1036.0,154.571
1041.0,15804.784
1043.0,141806.7816
1044.0,36438.904
1045.0,224960.70599999998
1052.0,4.5364
1054.0,58417.066399999996
1060.0,18.346199999999996
1062.0,311776.77
1068.0,-1454.6399999999994
1071.0,88335.0111
1072.0,211564.702
1075.0,76549.89869999999
1083.0,-41.35932205159929
1084.0,40054.2975
1085.0,-171036.39800000004
1091.0,47683.07939999999
1092.0,413239.485
1094.0,542432.845
1095.0,163985.0
1096.0,5604.975
1100.0,46301.216499999995
1102.0,214953.242
1110.0,-40059.080000000016
1116.0,337132.257
1118.0,103674.70999999999
1119.0,512790.75639999995
1123.0,106414.52
1127.0,13452.2875
1129.0,32255.986099999995
1139.0,51559.9608
1142.0,325431.2939
1146.0,103763.5715
1151.0,44753.10309999999
1155.0,149334.7755
1160.0,7351.1718
1161.0,330991.4168
1162.0,223872.1787
1170.0,-56.13199999999999
1173.0,10476.926000000036
1175.0,85342.196
1180.0,241659.1872
1183.0,175018.436
1186.0,236223.72
1187.0,37020.14799999999
1190.0,1401801.28
1196.0,24094.625
1205.0,57394.78
1209.0,552912.2
1210.0,300188.75
1211.0,36.4231
1212.0,46367.5256
1215.0,184798.6662
1216.0,62.64
1225.0,243261.13999999998
1234.0,251.55000000000018
1236.0,-33.911
1238.0,5981.699500000001
1240.0,27895.22
1241.0,472409.37
1243.0,99146.84030000001
1244.0,363.5445
1251.0,633880.664
1253.0,43320.5013
1254.0,226223.913046292
1256.0,27.594
1257.0,22.791400000000003
1261.0,209477.6897
1266.0,41427.859
1267.0,526048.1544
1269.0,357322.69
1270.0,532373.43
1271.0,382296.01
1275.0,198827.0785
1279.0,65438.8922
1280.0,2386.0625
1287.0,128121.28902999999
1288.0,8152.599399999999
1289.0,109312.2609
1290.0,366765.74199999997
1299.0,43954.034
1302.0,216834.835
1308.0,213246.24
1315.0,331676.9474
1316.0,380448.18
1319.0,-97426.21199999997
1320.0,15288.144
1321.0,-1024.1849999999977
1324.0,261.805479
1325.0,20426.785599999996
1326.0,105232.435
1328.0,459958.75
1330.0,444.275
1334.0,7917.9025
1335.0,4551.779799999999
1338.0,70738.39356000001
1340.0,-61710.3851
1345.0,5269.429999999993
1349.0,35883.770000000004
1350.0,16698.621499999997
1351.0,1258.8652
1353.0,111155.03
1360.0,559.7559000000001
1361.0,20294.940000000002
1362.0,292147.1691
1369.0,325813.2987
1370.0,-14053.080000000009
1374.0,777.9599999999999
1376.0,34594.94549993273
1378.0,2568.4028
1379.0,298956.538
1385.0,29977.71324
1386.0,432190.2831
1387.0,26838.65808
1388.0,83341.9382
1389.0,10392.536100000001
1392.0,471129.5758
1394.0,258575.13749999998
1396.0,37.705242
1397.0,30848.678535955503
1398.0,45361.5719
1401.0,383635.6856
1402.0,-2806.909999999996
1403.0,28.308600000000013
1407.0,-44.829600000000006
1416.0,2073.601
1417.0,335855.2784
1420.0,51215.64109999999
1422.0,2005811.996
1424.0,137316.5592
1425.0,-62.40200000000001
1426.0,215855.90039999998
1430.0,195892.43519
1435.0,8637.296999999999
1436.0,33673.450000000004
1439.0,225732.438
1440.0,141019.91749999998
1443.0,277489.905
1446.0,158638.2316
1447.0,144127.53
1448.0,13745.205000000002
1451.0,1410.4349999999977
1454.0,141472.526
1456.0,67.83463
1458.0,46874.030000000006
1462.0,420571.0311
1463.0,380417.33749999997
1464.0,295719.4835
1467.0,38082.6375
1469.0,18219.576800000003
1473.0,35402.42
1474.0,84008.7152
1475.0,306230.9875
1476.0,285927.374
1479.0,218.7
1480.0,266005.26190000004
1482.0,229054.358046292
1489.0,47721.1323
1490.0,43898.5475
1495.0,50694.4844
1502.0,187741.43149999998
1504.0,75612.70649999999
1507.0,245707.8288
1509.0,22.676199999999994
1510.0,9738.774099999999
1512.0,-44.37448
1513.0,35194.649900000004
1514.0,243382.65000000002
1516.0,81358.13
1517.0,62343.600000000006
1519.0,120.36880000000001
1520.0,345909.0378
1521.0,38902.572
1522.0,8967.1565
1523.0,136831.75
1524.0,1034.3324
1527.0,30147.714599999992
1532.0,461306.0
1533.0,468437.385
1535.0,34102.966100000005
1537.0,264.903
1539.0,-34.978500000000004
1546.0,171823.41
1548.0,33237.844300000004
1552.0,-6063.734600000003
1555.0,-8.604782871000001
1557.0,302978.228046292
1558.0,44200.3395
1561.0,166403.0841
1564.0,9729.817800000004
1565.0,59.0206
1566.0,26222.95
1575.0,219342.0454
1580.0,193191.314
1581.0,71.3944
1585.0,62361.046391335716
1586.0,47550.5711
1587.0,77435.82
1588.0,524236.6803
1589.0,49460.1555
1590.0,598.3620000000001
1592.0,46512.2381
1594.0,192181.536
1605.0,287995.742
1610.0,68.01700000000001
1611.0,232045.25
1613.0,205799.723
1614.0,4716.453000000001
1615.0,1106599.0593
1617.0,137.52750000000003
1618.0,13674.844799999999
1622.0,-23440.464999999997
1623.0,517935.865
1624.0,39843.650200000004
1625.0,44555.52745
1626.0,51528.9188
1630.0,23892.66
1631.0,218119.035
1633.0,387478.2418
1636.0,358776.52
1638.0,-36.64152
1639.0,50175.664499999984
1640.0,19773.996199999998
1642.0,704.0509
1648.0,41374.634600000005
1649.0,31611.525800000003
1650.0,71970.985
1651.0,87172.14000000001
1665.0,-4.237419999999986
1667.0,96759.4632
1672.0,233669.412768616
1673.0,7172.232000000004
1676.0,127855.255
1677.0,250845.9345
1683.0,58516.004
1684.0,13403.5023
1689.0,343849.8076
1690.0,16607.674499999997
1691.0,268208.8319
1692.0,302006.600768616
1693.0,312665.4633
1695.0,227085.996768616
1696.0,166113.84269999998
1697.0,368491.7178
1702.0,55857.1821
