punk_id,usd_r
0.0,0.13763483242932728
1.0,0.3411050536525839
14.0,0.01302697859383195
53.0,0.5824929316537562
89.0,1.4627968704157728
116.0,22.35294914417887
118.0,0.4323774793464712
124.0,0.17195388688087232
138.0,1818.5127027260885
139.0,2218.582357365144
141.0,0.052095602783226225
143.0,4.078770810191002
150.0,237.25741351845193
160.0,0.6070410872313239
161.0,1.961235766879389e+50
169.0,5.719388834539784
173.0,0.26181313461954003
197.0,-0.9999280558147741
203.0,0.36573304201177814
211.0,1.0942869890358549
229.0,0.23214555168813478
234.0,2.125241621263556
239.0,6995133.774856873
240.0,186207.25974847216
252.0,0.5044691159912682
257.0,21.23445253344373
258.0,479476393425.91205
259.0,4.707552610977792e+37
260.0,0.7630338603597644
273.0,1.9854255310833917
280.0,-0.0581000242306251
283.0,-1.0
285.0,0.4630738912981045
286.0,3.1018628828370733
287.0,-0.999999999962592
291.0,0.13732756335143392
294.0,2830.4257930878175
300.0,-0.40068395442197635
308.0,0.48210347675725296
312.0,0.6575241654674933
318.0,0.29404741660119504
322.0,0.4319561078145293
328.0,106.12602925631157
329.0,-0.7930434041306109
332.0,-0.5127464373984201
335.0,0.18023299972144913
339.0,16.323644005720787
340.0,0.5213105049870221
341.0,0.4410046671432075
342.0,5.487532807639136e+92
349.0,4.894001254903522
352.0,0.09699958297015687
353.0,2.2881921956651525
355.0,-0.0256728664531668
365.0,0.1960324353788665
368.0,11.200132567387422
376.0,0.22164472116160838
381.0,0.25668754143984795
382.0,0.19463809220446326
384.0,212150.57915786194
385.0,693.0513712669908
387.0,-0.21430081435044313
399.0,0.33910743162901746
402.0,0.05163289099075441
406.0,20975610832.072502
407.0,0.24928599308166133
422.0,0.3902207436386742
423.0,0.9574879707639017
426.0,0.4023127566882787
430.0,0.18980869001240608
435.0,0.3140996928995412
445.0,1.1813701741520402
446.0,3.668889790657282
447.0,0.9335482311798149
449.0,6477.197254190215
457.0,164.88616972787534
470.0,68.8268804697543
473.0,0.1499949198395063
483.0,5.361508980832665
486.0,2.0448075719106664
488.0,0.16866812939848064
489.0,2.1326333534156316
490.0,0.1742763780073071
494.0,67.1485188451206
497.0,0.1358588959152489
501.0,0.16520910010432854
