punk_id,eth_pc_change,txn_num
0.0,14.625,3
1.0,0.935483870967742,3
14.0,0.3513513513513513,3
53.0,4.908636363636364,3
116.0,1.0,2
118.0,0.0098765432098764,2
138.0,0.3807142857142858,5
139.0,0.9112850619699936,4
141.0,0.1621065019123271,2
143.0,0.0909090909090908,3
150.0,0.085859375,2
160.0,0.3249999999999999,3
161.0,0.1619480519480518,3
169.0,0.2444444444444444,4
173.0,0.9980000000000002,2
197.0,0.015625,4
211.0,3.8744186046511615,2
229.0,0.04125,2
234.0,1.7611044417767108,2
239.0,0.0936073059360731,2
240.0,0.1282051282051282,6
252.0,0.6666666666666667,3
257.0,0.057293899128447,6
258.0,0.41725719049604,3
260.0,1.9166666666666663,5
273.0,9.0,5
285.0,0.0666888962987661,2
286.0,0.1102220444088817,2
287.0,0.0227272727272727,4
291.0,0.3809523809523809,2
294.0,0.92,4
308.0,2.075313807531381,2
312.0,0.9047619047619048,2
318.0,0.0377358490566037,2
322.0,0.3333333333333332,2
328.0,0.2380952380952381,3
329.0,0.0849673202614378,3
335.0,1.6666666666666663,3
339.0,0.5419354838709678,5
341.0,4.002000800320128,2
342.0,0.2317764804003335,3
349.0,0.1117749084602042,2
352.0,0.0447928331466964,2
353.0,5.253908692933083,4
355.0,0.25,2
365.0,1.217342968315731,3
368.0,1.1875,5
376.0,0.0674759014637629,3
381.0,0.6006402561024411,3
384.0,1.0083333333333333,2
399.0,0.0445454545454546,2
402.0,0.0494999999999998,2
406.0,0.3695652173913044,5
407.0,0.0465116279069768,2
422.0,2.2866533295227205,2
423.0,2.208955223880597,2
426.0,8.975,2
430.0,0.9121734296831574,2
435.0,1.2779043280182232,2
445.0,1.0422535211267605,3
446.0,1.2718181818181815,2
447.0,0.4634146341463414,4
457.0,0.3388392857142857,3
470.0,0.0608938547486033,2
473.0,0.3039130434782608,2
483.0,2.997057381069152,7
486.0,0.0256410256410255,4
488.0,0.0904361744697879,2
490.0,0.8841911764705883,2
494.0,0.4666666666666665,5
497.0,0.1558572146807439,4
503.0,1.82089552238806,2
505.0,1.0198019801980198,2
506.0,0.2414897877452944,4
509.0,0.0952380952380953,3
510.0,13.366666666666667,2
512.0,2.4780434782608696,4
522.0,0.0609275538041831,3
534.0,0.1407608695652173,4
538.0,0.0421008753647353,2
548.0,0.0447999999999999,7
550.0,0.3156140350877192,2
551.0,0.0391666666666667,3
561.0,0.3333333333333332,3
563.0,1.7142857142857144,2
570.0,0.3263265306122447,2
573.0,12.756190476190476,3
