punk_id,unit_in_eth
0.0,0.006215911652017128
1.0,0.02060401171963038
14.0,0.0011832319134550372
53.0,0.03876267748478702
89.0,0.009350912778904664
116.0,0.0008113590263691682
118.0,0.009172864548118099
124.0,0.01169709263015551
138.0,0.03239576290286229
139.0,0.046173089925625424
141.0,0.016562993013297275
143.0,0.0792201938246563
150.0,0.06017354068064008
160.0,0.027721433400946585
161.0,0.042524228082037416
169.0,0.024563894523326572
173.0,0.033784088347982875
197.0,0.06051386071670047
203.0,0.11377281947261664
211.0,0.028465179175118323
229.0,0.05520622041920216
234.0,0.021183231913455038
239.0,0.010333558710840657
240.0,0.03290511606941627
252.0,0.030876718503493352
257.0,0.06276538201487492
258.0,0.017351814288933964
259.0,0.09347532116294793
260.0,0.0811201262114041
273.0,0.07133198106828939
280.0,0.000326797385620915
283.0,0.006242956952896101
285.0,0.013968897903989181
286.0,0.023775073247689883
287.0,0.02231011945007888
291.0,0.011268875366238449
294.0,0.00566824430921794
300.0,0.07151904439936894
308.0,0.0219517692134325
312.0,0.050867703403200355
318.0,0.012170385395537525
322.0,0.006310570205093531
328.0,0.02611674554879423
329.0,0.016416497633536174
332.0,0.008280369619112011
335.0,0.036285778679287804
339.0,0.13488618435880098
340.0,0.09939148073022312
341.0,0.033804372323642105
342.0,0.06492900608519271
349.0,0.024696867252648184
352.0,0.012346179851250845
353.0,0.03290286229434303
355.0,0.00030425963488843813
365.0,0.01679963939598828
368.0,0.03686950642325896
376.0,0.01868379535722335
381.0,0.020054090601757942
382.0,0.0294140184809556
384.0,0.016272256028848322
385.0,0.0702974983096687
387.0,0.07888212756366915
399.0,0.05068740139734055
402.0,0.00923822402524228
406.0,0.16080459770114944
407.0,0.03966644128915934
422.0,0.033804372323642105
423.0,0.03177822853279243
426.0,0.0049470362857786795
430.0,0.011807527608744647
435.0,0.01621591165201713
445.0,0.0488280369619112
446.0,0.008111336488618434
447.0,0.020396664412891594
449.0,0.046285778679287806
457.0,0.06917962587333784
470.0,0.008314176245210728
473.0,0.011942754113139508
483.0,0.046125309894072576
486.0,0.024115393283750283
488.0,0.011773720982645931
489.0,0.08861618210502592
490.0,0.035361730899256254
494.0,0.08631507775524003
497.0,0.019242731575388774
501.0,0.028318683795357225
503.0,0.02884832093757043
505.0,0.017185034933513636
506.0,0.01362857786792878
509.0,0.014412891593418978
510.0,0.005194951543835926
512.0,0.06833220644579671
522.0,0.023209375704304713
534.0,0.06685598377281947
538.0,0.011041244083840432
544.0,0.0012418300653594771
548.0,0.061600180302005855
550.0,0.02974757719179626
551.0,0.03163849447825107
