punk_id,eth_r
0.0,0.2130105500558872
1.0,0.28377847771012776
14.0,0.06305345365865933
53.0,0.3607365641286784
89.0,1.1736840979685268
116.0,50.91830667936044
118.0,0.005536714220111705
124.0,0.04132140673237239
138.0,297.51291535086466
139.0,218.4932346571205
141.0,0.041758843320551575
143.0,1.463201290424514
150.0,12.457488566741036
160.0,0.42022307019003535
161.0,1.924378017150814e+45
169.0,1.9985811397225812
173.0,0.1231328692223157
197.0,-0.9291821474426031
203.0,0.24102462035042338
211.0,0.7536936452224434
229.0,0.14964297423065775
234.0,1.4743488812691572
239.0,43754.86550588608
240.0,529.0252649213966
252.0,0.2692543751969303
257.0,6.201779752592487
258.0,2431422325.60305
259.0,5.752673324832485e+28
260.0,1.0864153076245722
273.0,0.9081907969058958
280.0,-0.26561217446686625
283.0,-1.0
285.0,0.12111378244027349
286.0,0.6960876376318399
287.0,-0.999525563973987
291.0,0.07347901037467452
294.0,28.52523739649988
300.0,0.17281672962600103
308.0,0.30434465550648726
312.0,0.7577694907344639
318.0,0.031974701879398104
322.0,0.07078056019439272
328.0,14.800621627612506
329.0,-0.032428405740770994
332.0,-0.36531255664848694
335.0,0.0874707861557662
339.0,7.449885702110528
340.0,0.286368406168346
341.0,0.3001857332560862
342.0,4.9767579806577335e+96
349.0,3.3176471161098915
352.0,0.008597497531636966
353.0,1.5450095237218195
355.0,0.013862957748951965
365.0,0.3801461348943518
368.0,4.017318747702563
376.0,0.08656165381809822
381.0,0.14226912289230942
382.0,0.12776850714041155
384.0,464669.4390786487
385.0,28.411680491657567
387.0,-0.168473889105075
399.0,0.10651642516049287
402.0,0.011578876041876685
406.0,441804782.4101621
407.0,0.04068347535319283
422.0,0.24980419951460875
423.0,0.8681187429306003
426.0,0.1655950429079336
430.0,0.12975373301973048
435.0,0.19340481335464244
445.0,0.6812567424895182
446.0,1.8631064574971532
447.0,0.8755687442147349
449.0,1296.1523164564765
457.0,136.97314896682678
470.0,24.391424527211303
473.0,0.05679544519636348
483.0,2.7276158877647827
486.0,1.1975989143435535
488.0,33148784.666566752
489.0,1.108832591622606
490.0,0.08822126607828307
494.0,54.99300045857868
497.0,-0.00015969866103815455
501.0,0.1137472783966107
503.0,1.26898286131637
505.0,0.1459946745614762
506.0,56202871894149.07
509.0,64.18195092679838
510.0,0.09230431010620577
512.0,0.7885138410596884
522.0,0.017144824326148944
534.0,21487.751195599187
538.0,0.0312833193717299
544.0,0.17706987913067795
548.0,1106009288.8026633
550.0,0.08118556256539011
551.0,0.7509828724607555
561.0,1.7258975977050093
563.0,0.19535672742333698
564.0,0.2120000410664573
570.0,0.9754751760875422
573.0,0.48750993522175134
586.0,4.479840401670107
588.0,0.11295119559928546
591.0,14.964058458820286
593.0,0.474048123914818
596.0,0.054129851137836305
604.0,0.0
608.0,0.6393427360225459
610.0,4.754463317175833
613.0,963858644504001.6
616.0,90627.77634715871
617.0,-0.016330241616947183
618.0,2.3137268392061873e+29
620.0,51.44961462212046
622.0,3.839132246572164
627.0,0.49765546586327036
628.0,11.907032247057469
632.0,6.256647289943956
636.0,114.33191745054548
638.0,0.8780350921671325
639.0,1.6262533797382583
642.0,1.5981695825475013
643.0,148.62585587190404
648.0,269.82281985263893
650.0,11.656084407407594
660.0,79.30755393465411
661.0,0.1911987499147152
669.0,0.17440844959300095
678.0,133387607.30059579
682.0,-0.3556794594673246
686.0,1.9317310949491397
690.0,104872081.9705299
695.0,0.042236446021329366
698.0,5.8196890422394665
700.0,0.1381902830628452
703.0,0.3554698610306841
704.0,7.360649055584437
709.0,5.587269187720665e+25
713.0,14.492736261432263
715.0,29.583083952107195
716.0,0.36809613081204295
717.0,577.32567276795
718.0,413.30587079394286
729.0,-0.12936266464169677
730.0,0.06604142514673228
735.0,0.2567208128456939
740.0,-0.09026559176743465
743.0,-0.0310202526950194
749.0,0.08763642853041076
750.0,1.3825206792688882
751.0,1.290494308697753
759.0,1.5106692853195476
769.0,38.476376817511095
773.0,2375.5158708028366
774.0,0.1340939034563795
777.0,0.2364837971594722
782.0,1030.9233192583904
784.0,618.9957837193134
793.0,-0.11781157301541789
794.0,307182.9648412396
797.0,233033611.7003749
800.0,163.19516366044326
803.0,9.603121074892247
807.0,1.326359675161716
812.0,0.24984376272159392
814.0,0.2771028645801219
817.0,3.803361895464942
819.0,3.1311600192221816
820.0,-0.35116892564988555
824.0,0.8206711874266719
825.0,7736.53913360335
827.0,0.761463107026114
836.0,4.683292590553844
838.0,5.1705544192741
839.0,0.19526388914351056
843.0,4.645786491208559
845.0,0.21472033480228125
852.0,8.830889521646395
853.0,23.63099636740917
855.0,1.0630057714069472
857.0,0.7870647188877475
861.0,0.6223347069095346
862.0,463936.76255520585
875.0,0.1725914648644007
877.0,0.3809141533824143
880.0,1.8435176152294153
883.0,0.12468685811910496
886.0,51.07429323970786
891.0,6.936294232014307
898.0,368168.888211313
900.0,0.8682252515985105
906.0,524276962.15712756
907.0,2201.245433016237
913.0,19.96548072415072
914.0,0.44224315185874463
915.0,0.318212141891425
916.0,0.3407965764169856
920.0,0.31900116440228965
923.0,73678.28290717397
924.0,1.1552773441503792
931.0,5.170322007637424
939.0,0.11116031582940855
943.0,0.0
948.0,0.16947989421711962
950.0,-0.32294026961286804
952.0,4.105147716415038
965.0,0.14505992438665616
973.0,0.49211682473423823
981.0,26405.55430883782
983.0,-0.1602037151199024
985.0,20.293405871821466
991.0,0.2547539067859299
992.0,0.09091353394512347
993.0,0.32915762001131
998.0,1.5768402223170894
1000.0,644.2238684821313
1001.0,1.9292941237962618
1003.0,0.0
